movieId,action,horror,documentary,tv movie,history,adventure,animation,mystery,war,science fiction,comedy,drama,music,family,western,thriller,romance,crime,foreign,fantasy
87,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
89,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
91,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
95,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
96,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
97,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
98,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
101,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
102,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
103,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
104,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
105,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
106,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
108,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
111,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
112,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
113,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
115,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
116,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0
117,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
118,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
120,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
121,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
122,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
123,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
124,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
127,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
128,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
129,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
132,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
133,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
135,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
136,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
137,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1
138,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
140,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0
141,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
142,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
143,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
145,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
146,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
147,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
148,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
149,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
150,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
152,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
153,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
154,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
155,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
156,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
157,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
158,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
159,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
160,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
162,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
164,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
165,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
166,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
167,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
168,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
169,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
170,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
171,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
172,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
173,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
174,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
